0,0,0,0,-4.4409e-16,0,0,4.4409e-16,0.032877,0.032877,0
0.10204,0,0,2.1577e-05,2.1577e-05,0,2.1577e-05,-4.3154e-05,0.065624,0.065624,0
0.20408,0,0,0.0001673,0.0001673,0,0.0001673,-0.0003346,0.098113,0.098113,0
0.30612,0,0,0.00054699,0.00054699,0,0.00054699,-0.001094,0.13021,0.13021,0
0.40816,0,0,0.0012555,0.0012555,0,0.0012555,-0.0025109,0.1618,0.1618,0
0.5102,0,0,0.0023732,0.0023732,0,0.0023732,-0.0047464,0.19275,0.19275,0
0.61224,0,0,0.003967,0.003967,0,0.003967,-0.0079339,0.22294,0.22294,0
0.71429,0,0,0.0060905,0.0060905,0,0.0060905,-0.012181,0.25225,0.25225,0
0.81633,0,0,0.0087853,0.0087853,0,0.0087853,-0.017571,0.28056,0.28056,0
0.91837,0,0,0.012081,0.012081,0,0.012081,-0.024162,0.30776,0.30776,0
1.0204,0,0,0.015997,0.015997,0,0.015997,-0.031993,0.33375,0.33375,0
1.1224,0,0,0.02054,0.02054,0,0.02054,-0.041081,0.35843,0.35843,0
1.2245,0,0,0.025711,0.025711,0,0.025711,-0.051422,0.38169,0.38169,0
1.3265,0,0,0.031498,0.031498,0,0.031498,-0.062996,0.40344,0.40344,0
1.4286,0,0,0.037883,0.037883,0,0.037883,-0.075766,0.4236,0.4236,0
1.5306,0,0,0.044839,0.044839,0,0.044839,-0.089679,0.44209,0.44209,0
1.6327,0,0,0.052334,0.052334,0,0.052334,-0.10467,0.45883,0.45883,0
1.7347,0,0,0.060328,0.060328,0,0.060328,-0.12066,0.47377,0.47377,0
1.8367,0,0,0.068775,0.068775,0,0.068775,-0.13755,0.48683,0.48683,0
1.9388,0,0,0.077625,0.077625,0,0.077625,-0.15525,0.49797,0.49797,0
2.0408,0,0,0.086823,0.086823,0,0.086823,-0.17365,0.50715,0.50715,0
2.1429,0,0,0.096311,0.096311,0,0.096311,-0.19262,0.51432,0.51432,0
2.2449,0,0,0.10603,0.10603,0,0.10603,-0.21206,0.51947,0.51947,0
2.3469,0,0,0.11591,0.11591,0,0.11591,-0.23182,0.52257,0.52257,0
2.449,0,0,0.12589,0.12589,0,0.12589,-0.25178,0.5236,0.5236,0
2.551,0,0,0.13591,0.13591,0,0.13591,-0.27181,0.52257,0.52257,0
2.6531,0,0,0.14589,0.14589,0,0.14589,-0.29178,0.51947,0.51947,0
2.7551,0,0,0.15577,0.15577,0,0.15577,-0.31154,0.51432,0.51432,0
2.8571,0,0,0.16549,0.16549,0,0.16549,-0.33098,0.50715,0.50715,0
2.9592,0,0,0.17498,0.17498,0,0.17498,-0.34995,0.49797,0.49797,0
3.0612,0,0,0.18417,0.18417,0,0.18417,-0.36835,0.48683,0.48683,0
3.1633,0,0,0.19302,0.19302,0,0.19302,-0.38605,0.47377,0.47377,0
3.2653,0,0,0.20147,0.20147,0,0.20147,-0.40294,0.45883,0.45883,0
3.3673,0,0,0.20947,0.20947,0,0.20947,-0.41893,0.44209,0.44209,0
3.4694,0,0,0.21696,0.21696,0,0.21696,-0.43392,0.4236,0.4236,0
3.5714,0,0,0.22392,0.22392,0,0.22392,-0.44783,0.40344,0.40344,0
3.6735,0,0,0.2303,0.2303,0,0.2303,-0.4606,0.38169,0.38169,0
3.7755,0,0,0.23609,0.23609,0,0.23609,-0.47218,0.35843,0.35843,0
3.8776,0,0,0.24126,0.24126,0,0.24126,-0.48252,0.33375,0.33375,0
3.9796,0,0,0.2458,0.2458,0,0.2458,-0.49161,0.30776,0.30776,0
4.0816,0,0,0.24972,0.24972,0,0.24972,-0.49944,0.28056,0.28056,0
4.1837,0,0,0.25301,0.25301,0,0.25301,-0.50603,0.25225,0.25225,0
4.2857,0,0,0.25571,0.25571,0,0.25571,-0.51142,0.22294,0.22294,0
4.3878,0,0,0.25783,0.25783,0,0.25783,-0.51566,0.19275,0.19275,0
4.4898,0,0,0.25943,0.25943,0,0.25943,-0.51885,0.1618,0.1618,0
4.5918,0,0,0.26054,0.26054,0,0.26054,-0.52109,0.13021,0.13021,0
4.6939,0,0,0.26125,0.26125,0,0.26125,-0.5225,0.098113,0.098113,0
4.7959,0,0,0.26163,0.26163,0,0.26163,-0.52326,0.065624,0.065624,0
4.898,0,0,0.26178,0.26178,0,0.26178,-0.52356,0.032877,0.032877,0
5,0,0,0.2618,0.2618,0,0.2618,-0.5236,6.4122e-17,6.4122e-17,0
