time_stamp	actual_pos_joint_4	actual_pos_joint_5	actual_pos_joint_3	actual_pos_joint_1	actual_pos_joint_2	actual_pos_joint_6	actual_pos_joint_7	actual_vel_joint_4	actual_vel_joint_5	actual_vel_joint_3	actual_vel_joint_1	actual_vel_joint_2	actual_vel_joint_6	actual_vel_joint_7	actual_acc_joint_4	actual_acc_joint_5	actual_acc_joint_3	actual_acc_joint_1	actual_acc_joint_2	actual_acc_joint_6	actual_acc_joint_7	actual_time_from_start	desired_pos_joint_4	desired_pos_joint_5	desired_pos_joint_3	desired_pos_joint_1	desired_pos_joint_2	desired_pos_joint_6	desired_pos_joint_7	desired_vel_joint_4	desired_vel_joint_5	desired_vel_joint_3	desired_vel_joint_1	desired_vel_joint_2	desired_vel_joint_6	desired_vel_joint_7	desired_acc_joint_4	desired_acc_joint_5	desired_acc_joint_3	desired_acc_joint_1	desired_acc_joint_2	desired_acc_joint_6	desired_acc_joint_7	desired_time_from_start
1504608121.709065914	-0.0076699	0.768524	-0.802272	0.0076699	0.816078	-1.58614	-0.00920388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	3.38813e-20	0.788798	-0.788798	2.22045e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504608121.729162931	-0.00613592	0.768524	-0.803806	0.0076699	0.816078	-1.58614	-0.00920388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	3.38813e-20	0.788798	-0.788798	2.22045e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504608121.749057054	-0.0076699	0.768524	-0.803806	0.0076699	0.816078	-1.58614	-0.0107379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	3.38813e-20	0.788798	-0.788798	2.22045e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504608121.769153118	-0.0076699	0.768524	-0.803806	0.0076699	0.816078	-1.58614	-0.0107379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	3.38813e-20	0.788798	-0.788798	2.22045e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504608121.789115905	-0.0076699	0.768524	-0.802272	0.0076699	0.816078	-1.58614	-0.0107379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	3.38813e-20	0.788798	-0.788798	2.22045e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504608121.809036016	-0.00613592	0.768524	-0.802272	0.00613592	0.816078	-1.58614	-0.00920388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	3.38813e-20	0.788798	-0.788798	2.22045e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504608121.829186916	-0.00613592	0.768524	-0.802272	0.0076699	0.816078	-1.58614	-0.00920388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	3.38813e-20	0.788798	-0.788798	2.22045e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504608121.849087953	-0.00613592	0.768524	-0.803806	0.0076699	0.816078	-1.58614	-0.00920388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	3.38813e-20	0.788798	-0.788798	2.22045e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504608121.869159936	-0.00613592	0.768524	-0.803806	0.0076699	0.816078	-1.58614	-0.00920388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	3.38813e-20	0.788798	-0.788798	2.22045e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504608121.889777898	-0.00613592	0.768524	-0.802272	0.0076699	0.816078	-1.58614	-0.00920388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	3.38813e-20	0.788798	-0.788798	2.22045e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
