time_stamp	torque_joint_1	temp_1
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
1.50419e+09	0	37
